date (:DateTime),Tair (K),wind_speed (m / s),SWdn (W / m^2),LWdn (W / m^2),RH,GPP (μmol / m^2 / s)
2015-03-07T23:00:00,297.8304433333333,4.434133603,0,-58.2816666666667,0.80552055,0
2015-03-07T23:30:00,297.91173,4.810674738,0,-54.5866666666667,0.8042029833333331,0
2015-03-07T03:00:00,297.7574333333333,4.1269265,0,-22.3671666666667,0.848899366666667,0
2015-03-07T03:30:00,297.673125,4.35752621,0,-33.55,0.8589838666666669,0
2015-03-07T04:00:00,297.8288433333333,4.521683258,0,-40.7683333333333,0.853645066666667,0
2015-03-07T04:30:00,297.77503,4.741556097,0,-39.5983333333333,0.860250116666667,0
2015-03-07T05:00:00,297.8294366666667,4.54597469,0,-49.5766666666667,0.856481866666667,0
2015-03-07T05:30:00,297.8664133333333,4.349609555,0,-49.6283333333333,0.855418733333333,0
2015-03-07T06:00:00,297.8655233333333,4.585643175,0,-55.9766666666667,0.854214566666667,0
2015-03-07T06:30:00,297.94097,4.725228274,16.9686065,-52.6383333333333,0.8454722,1.804576657
2015-03-07T07:00:00,298.1608133333333,5.202098237,85.2240266666667,-56.4666666666667,0.8330103666666671,5.781311488
2015-03-07T07:30:00,298.392635,5.319156538,213.701166666667,-72.2916666666667,0.809952233333333,10.04205338
2015-03-07T08:00:00,298.7470383333333,5.278731293,346.8676,-71.775,0.7899914666666671,13.86676733
2015-03-07T08:30:00,299.10418500000003,4.877083846,465.573766666667,-68.0916666666667,0.7510363999999999,16.15615894
2015-03-07T09:00:00,299.5201616666667,5.669659964,640.863266666667,-54.8266666666667,0.741977016666667,19.15643368
2015-03-07T09:30:00,299.5958566666667,5.573497908,597.139983333333,-56.745,0.7240059833333331,20.16548991
2015-03-08T00:00:00,297.9042016666667,4.714384811,0,-63.64,0.804884083333333,0
2015-03-08T00:30:00,297.8670566666667,4.372668584,0,-52.1183333333333,0.82583765,0
2015-03-08T01:00:00,297.9361233333333,5.019598813,0,-53.96,0.826380033333333,0
2015-03-08T01:30:00,297.9145916666667,5.724036073,0,-49.57,0.8198422833333331,0
2015-03-08T10:00:00,300.2889633333333,3.263688304,656.72225,-68.385,0.6804191166666671,17.5773621
2015-03-08T10:30:00,300.81682,4.184173477,843.851233333333,-70.03,0.6504789,17.1869093
2015-03-08T11:00:00,300.6777633333333,4.438254518,751.036316666667,-62.9316666666667,0.666826233333333,19.09623041
2015-03-08T11:30:00,300.6006533333333,5.931347342,719.755,-53.5816666666667,0.6598347,18.8632253
2015-03-08T12:00:00,300.6810216666667,5.913803255,1032.40465,-67.5,0.6771202,16.13016043
2015-03-08T12:30:00,300.62247666666667,5.628970654,987.912016666667,-64.4533333333333,0.694553316666667,16.86414593
2015-03-08T13:00:00,300.6237083333333,6.242962793,942.9673,-61.8333333333333,0.6960231,15.96506973
2015-03-08T13:30:00,300.35783,6.110037524,965.9514,-67.205,0.712520283333333,14.91095086
2015-03-08T14:00:00,300.2751966666667,7.050137589,918.282033333333,-68.5783333333333,0.712951983333333,14.25455784
2015-03-08T14:30:00,299.9130166666667,6.485924713,822.980416666667,-67.88,0.7341782000000001,14.2352934
2015-03-08T15:00:00,300.0228183333333,6.089027574,662.223433333333,-58.4,0.7321358166666669,13.57894164
2015-03-08T15:30:00,299.73472,5.720146456,573.081583333333,-57.275,0.7491278,12.77087558
2015-03-08T16:00:00,299.3688883333333,5.247209565,366.526183333333,-40.6683333333333,0.772534133333333,11.733222
2015-03-08T16:30:00,298.6359533333333,5.302194836,253.519966666667,-26.5616666666667,0.822665,10.29916061
2015-03-08T17:00:00,298.1551516666667,5.661951245,112.880215,-44.7083333333333,0.845295666666667,6.226142703
2015-03-08T17:30:00,298.1247483333333,5.476538,55.8395333333333,-44.0383333333333,0.857412983333333,3.868833165
2015-03-08T18:00:00,298.0598466666667,5.507703097,20.9630466666667,-31.3816666666667,0.851347366666667,1.199205281
2015-03-08T18:30:00,297.860485,4.433093637,1.02579066666667,-40.6,0.853553183333333,0
2015-03-08T19:00:00,297.78385000000003,4.727692078,0,-40.0833333333333,0.863721666666667,0
2015-03-08T19:30:00,297.86504,5.095164779,0,-52.5216666666667,0.8571127,0
2015-03-08T20:00:00,297.863075,4.713935844,0,-53.2566666666667,0.8400514833333329,0
2015-03-08T20:30:00,297.7513133333333,4.333261387,0,-53.535,0.8441637,0
2015-03-08T21:00:00,297.785225,4.668971964,0,-56.9233333333333,0.8350247000000001,0
2015-03-08T21:30:00,297.7180716666667,3.667129827,0,-52.2566666666667,0.837641633333333,0
2015-03-08T22:00:00,297.8183983333333,4.453593743,0,-30.2383333333333,0.824075633333333,0
2015-03-08T22:30:00,297.9399633333333,4.458412243,0,-23.0183333333333,0.8291597666666669,0
2015-03-08T23:00:00,298.0964933333333,4.594938399,0,-25.3866666666667,0.8338753666666671,0
